"Price:","Price:"
"Details","Details"
"New Properties Available","New Properties Available"
"Description","Description"
"Price","Price"
"Final Price","Final Price"
"Special Price","Special Price"
"SKU","SKU"
"Weight","Weight"
"Created","Created"
"Updated","Updated"
"Product URL","Product URL"
"Product Description","Product Description"
"Short Description","Short Description"
"Product Name","Product Name"
"Created Date","Created Date"
"Updated Date","Updated Date"
"Recommended","Recommended"
"Yes","Yes"
"No","No"
