"Price:","Preț:"
"Details","Vezi detalii"
"New Properties Available","Proprietăți Noi Disponibile"
"Description","Descriere"
"Price","Preț"
"Final Price","Preț Final"
"Special Price","Preț Special"
"SKU","Cod Produs"
"Weight","Greutate"
"Created","Creat"
"Updated","Actualizat"
"Product URL","URL Produs"
"Product Description","Descrierea Produsului"
"Short Description","Descriere Scurtă"
"Product Name","Numele Produsului"
"Created Date","Data Creării"
"Updated Date","Data Actualizării"
"Recommended","Recomandat"
"Yes","Da"
"No","Nu"
